Time_ps,H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,None^0,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.670581,0.189796,0.0509319,4.14878,1.38481e-06,0,0,0,0,0,0,0,5.07565,0.0555307,7.26792e-05,4.13513
1.25893,0.670581,0.189813,0.0520233,4.14878,1.38481e-06,0,0,0,0,0,0,0,5.07565,0.0559418,7.79556e-05,4.13513
1.58489,0.670493,0.189873,0.0537112,4.1486,1.38481e-06,0,0,0,0,0,0,0,5.07333,0.0564393,8.49378e-05,4.13487
1.99526,0.669795,0.190036,0.0570238,4.14775,1.38481e-06,0,0,0,0,0,0,0,5.06385,0.0568066,8.49378e-05,4.13343
2.51189,0.668974,0.190227,0.0606495,4.14699,1.38481e-06,0,0,0,0,0,0,0,5.05457,0.0573894,0.000102512,4.13206
3.16228,0.668157,0.190438,0.064743,4.14603,1.38481e-06,0,0,0,0,0,0,0,5.04401,0.0578933,0.000113346,4.13052
3.98107,0.667027,0.190694,0.0696294,4.14496,1.38481e-06,0,0,0,0,0,0,0,5.03176,0.058778,0.000115462,4.1286
5.01187,0.665799,0.190954,0.0751239,4.14358,1.38481e-06,0,0,0,0,0,0,0,5.01732,0.0595287,0.000115462,4.12643
6.30957,0.664146,0.191296,0.081459,4.14208,1.38481e-06,0,0,0,0,0,0,0,5.00029,0.0607069,0.000126376,4.12358
7.94328,0.662401,0.191626,0.0887326,4.14021,1.38481e-06,0,0,0,0,0,0,0,4.9815,0.0618939,0.000153216,4.12054
10,0.66038,0.191982,0.0967844,4.13809,1.38481e-06,0,0,0,0,0,0,0,4.95993,0.0636559,0.000169167,4.11667
12.5893,0.65798,0.192468,0.105491,4.13564,1.38481e-06,0,0,0,0,0,0,0,4.93655,0.0654286,0.000188372,4.11227
15.8489,0.655286,0.192993,0.115687,4.13275,1.38481e-06,0,0,0,0,0,0,0,4.90883,0.0678946,0.00021087,4.10686
19.9526,0.651852,0.193609,0.12612,4.12947,1.38481e-06,0,0,0,0,0,0,0,4.87969,0.0705476,0.000239504,4.10084
25.1189,0.648708,0.194366,0.138698,4.12552,8.00125e-06,0,0,0,0,0,0,0,4.84574,0.0736883,0.000267481,4.09361
31.6228,0.64441,0.195068,0.152019,4.12119,1.50629e-05,0,0,0,0,0,0,0,4.8079,0.0770971,0.000358487,4.08582
39.8107,0.64029,0.196083,0.166975,4.11616,1.75657e-05,0,0,0,0,0,0,0,4.7659,0.0820064,0.000422224,4.07575
50.1187,0.635609,0.197193,0.183424,4.11035,2.33367e-05,0,0,0,0,0,0,0,4.71916,0.087449,0.000538088,4.06432
63.0957,0.630645,0.198415,0.20067,4.10352,2.83098e-05,0,0,0,2.02378e-06,0,0,0,4.66901,0.0931413,0.000666842,4.05172
79.4328,0.625301,0.199803,0.218834,4.09558,3.77194e-05,2.95997e-06,0,0,2.02378e-06,0,0,0,4.61482,0.100116,0.000782907,4.03655
100,0.619483,0.201566,0.239303,4.08598,4.92959e-05,5.71491e-06,0,0,2.02378e-06,0,0,0,4.55367,0.107989,0.00101544,4.01882
125.892,0.613776,0.20346,0.260439,4.0749,7.58996e-05,1.5018e-05,0,0,2.02378e-06,0,0,0,4.48953,0.116086,0.00129284,3.99934
158.489,0.608016,0.205449,0.283388,4.06242,9.59392e-05,1.97115e-05,0,0,2.02378e-06,0,0,0,4.42042,0.124417,0.00159546,3.9781
199.526,0.603725,0.207967,0.305844,4.04695,0.000117413,2.1306e-05,0,0,2.02378e-06,0,0,0,4.35021,0.134078,0.00199462,3.95251
251.189,0.599737,0.21059,0.329634,4.03056,0.000132759,3.10687e-05,0,0,1.11714e-05,0,0,0,4.27479,0.145436,0.00253476,3.92415
316.228,0.595742,0.213527,0.353297,4.01201,0.000164233,5.23666e-05,0,0,1.6942e-05,0,0,0,4.19775,0.157374,0.00299046,3.89311
398.107,0.592845,0.216622,0.376884,3.99186,0.000160116,9.97752e-05,0,0,3.61421e-05,0,0,0,4.1196,0.169726,0.00372396,3.85975
501.187,0.59046,0.22011,0.399677,3.9701,0.000164523,0.000123784,0,0,4.70403e-05,0,0,0,4.04243,0.182331,0.00455732,3.82441
630.957,0.58905,0.223808,0.421308,3.94618,0.000203208,0.000154087,0,0,4.70403e-05,0,0,0,3.96574,0.196257,0.0051495,3.78584
794.328,0.587558,0.228022,0.443064,3.92075,0.000227086,0.000195633,0,0,4.8082e-05,0,0,0,3.88699,0.211014,0.00603171,3.74465
999.999,0.587691,0.232135,0.463017,3.8947,0.000260475,0.000238736,0,0,4.8082e-05,0,0,0,3.8107,0.226879,0.00727925,3.70133
1258.92,0.588697,0.236814,0.481166,3.86706,0.000284419,0.000308523,0,0,4.9784e-05,5.1769e-06,0,0,3.73889,0.242569,0.00836348,3.65674
1584.89,0.590551,0.24158,0.497745,3.83864,0.000341343,0.000360649,0,0,5.752e-05,5.1769e-06,0,0,3.66848,0.259458,0.00974832,3.60984
1995.26,0.592621,0.246619,0.512409,3.80963,0.000366888,0.000433387,0,0,6.26514e-05,1.11478e-05,0,0,3.60236,0.276241,0.0110979,3.56247
2511.89,0.594774,0.252024,0.525754,3.78044,0.000397466,0.000477163,0,0,7.93085e-05,1.68634e-05,0,0,3.54011,0.292843,0.0122181,3.51535
3162.28,0.597246,0.257285,0.537309,3.75155,0.00045469,0.000581785,0,0,7.5887e-05,1.61948e-05,0,0,3.48049,0.310362,0.0134634,3.46744
3981.07,0.600073,0.262833,0.547372,3.72266,0.000482168,0.000659332,0,0,7.73935e-05,2.85713e-05,0,0,3.42415,0.328645,0.0146795,3.41875
5011.87,0.602735,0.268809,0.555868,3.6942,0.000506977,0.000696647,0,0,0.00010487,3.21364e-05,0,0,3.37308,0.345803,0.0159302,3.37162
6309.57,0.605984,0.274232,0.563314,3.6669,0.000524304,0.000750433,0,0,0.000109794,3.60576e-05,0,0,3.32447,0.362903,0.0174033,3.32548
7943.28,0.609534,0.279575,0.569172,3.64056,0.000567554,0.000819318,0,0,9.95891e-05,4.55098e-05,0,0,3.28007,0.380162,0.0187931,3.2802
9999.99,0.612658,0.284853,0.574275,3.61481,0.000592221,0.000916072,0,0,9.61167e-05,3.72608e-05,0,0,3.23882,0.396193,0.0199637,3.23688
12589.2,0.614975,0.290245,0.57842,3.59095,0.000598646,0.000986621,0,0,0.000110743,3.81055e-05,0,0,3.20026,0.413137,0.0210271,3.19479
15848.9,0.617519,0.295611,0.581839,3.56882,0.000628955,0.00114205,0,0,0.000106971,5.25749e-05,0,0,3.16583,0.429181,0.0219582,3.15529
19952.6,0.619799,0.30049,0.584865,3.54785,0.000646874,0.00123419,0,0,0.000119775,4.96502e-05,0,0,3.13242,0.445236,0.0228574,3.11707
25118.8,0.621222,0.305247,0.587069,3.52774,0.000668377,0.00134902,0,0,0.000133094,5.33327e-05,0,0,3.10301,0.459277,0.0234476,3.08207
31622.8,0.62281,0.30956,0.588934,3.50973,0.000738163,0.00144367,0,0,0.000136854,5.92951e-05,0,0,3.076,0.472775,0.0240873,3.04966
39810.7,0.624364,0.313562,0.590713,3.49273,0.000768616,0.0015064,0,0,0.000150038,5.74631e-05,0,0,3.05168,0.484623,0.0245791,3.0201
50118.7,0.625234,0.317474,0.59223,3.47729,0.000777391,0.00151853,0,0,0.000159862,6.88894e-05,0,0,3.02975,0.495585,0.0250083,2.99306
63095.7,0.626342,0.320624,0.593435,3.4627,0.000802885,0.00159419,0,0,0.000156447,7.46383e-05,0,0,3.00951,0.50514,0.0253114,2.96836
79432.8,0.627615,0.323711,0.594388,3.44927,0.000827451,0.00158241,0,0,0.000158106,9.56312e-05,0,0,2.99205,0.514034,0.0255166,2.94568
99999.9,0.628695,0.326415,0.594825,3.43607,0.000838857,0.00164062,0,0,0.000157711,0.000106324,0,0,2.97627,0.521323,0.0257521,2.92471
125892,0.629689,0.328983,0.595589,3.42445,0.000852751,0.00164287,0,0,0.000161337,0.000107462,0,0,2.96216,0.52846,0.0256072,2.90591
