EnergyDeposit(eV),LET(keV/um)
1124.55,0.112386
1784.69,0.178452
5916.94,0.590357
837.498,0.083745
3788.99,0.378545
1202.12,0.12021
1438.06,0.143288
741.054,0.0740995
1059.85,0.105967
1758.11,0.175755
1110.93,0.110561
1600.8,0.159876
7203.41,0.718844
1122.61,0.112255
967.2,0.0966825
795.151,0.0794922
1903.75,0.190316
1966.67,0.196529
519.196,0.0518278
1931.67,0.193151
444.768,0.0444741
1809.72,0.1807
2047.88,0.204647
3091.95,0.309101
2155.59,0.21552
2050.24,0.204981
919.821,0.091939
8076.98,0.805788
1145.02,0.114476
856.752,0.085592
1850.41,0.184966
1613.97,0.161379
2050.59,0.205028
884.915,0.0884631
1076.01,0.107588
1641.1,0.163974
931.162,0.0930855
756.938,0.0756223
1112.29,0.111043
621.016,0.062066
1573.46,0.157337
1291.13,0.129078
1110.5,0.111037
2952.36,0.29492
1357.44,0.135097
1137.9,0.113236
1430.4,0.142835
533.987,0.0533843
2954.32,0.295355
786.813,0.0786443
943.118,0.0943059
690.276,0.0688818
7094.65,0.709141
1096.02,0.109544
851.13,0.0851043
3046.3,0.304569
893.358,0.0893286
1096.01,0.109568
1619.47,0.161902
2088.86,0.208808
649.721,0.0649051
1189.38,0.118527
997.46,0.0996678
1475.63,0.147281
1571.46,0.157073
1092.47,0.109239
1351.09,0.134906
1255.98,0.125474
1137.03,0.113698
743.53,0.0743489
962.446,0.0961689
676.04,0.0676008
2672.35,0.267123
886.818,0.0886588
1610.16,0.160909
1178.44,0.117683
1632.72,0.163199
1921.83,0.19184
3143,0.310731
624.252,0.0623981
2304.11,0.230342
4495.25,0.44931
1001.63,0.100156
1195.44,0.119524
1261.22,0.126091
1292.83,0.129252
1262.27,0.126093
3574.81,0.357361
1940.14,0.193394
837.045,0.0837011
572.644,0.0571825
914.815,0.0909574
1282.73,0.127987
1119.65,0.111918
880.352,0.0880188
849.083,0.0845154
1321,0.132076
1133.52,0.112945
1203.51,0.120342
1230.38,0.123009
870.327,0.0869279
657.44,0.06573
6939.13,0.693699
1879.18,0.187752
2087.3,0.208463
1000.11,0.0999852
754.953,0.0753929
2102.08,0.210072
855.155,0.0855101
937.922,0.0937812
813.164,0.0813088
982.878,0.0982746
1749.56,0.174885
5100.79,1.16137
682.376,0.0682333
1227.68,0.122763
759.05,0.0758722
1000.56,0.100049
1294.21,0.129394
1139.93,0.113965
1587.91,0.158748
918.233,0.0918015
1208.05,0.120794
1496.14,0.149587
3932.34,0.392916
1070.18,0.107016
987.28,0.0984184
752.363,0.0752178
1652.53,0.165055
1096.68,0.109624
2683.2,0.268209
1006.75,0.100563
677.909,0.0676908
907.705,0.0903956
1072.57,0.107242
650.589,0.0650406
1085.63,0.108552
1232.37,0.12322
1355.11,0.135463
960.486,0.0960155
740.98,0.0740874
1709.43,0.170774
878.958,0.0878156
2053.78,0.205285
1584.42,0.158414
1122.25,0.112223
1489.05,0.14879
1039.96,0.103812
1312.77,0.131258
1546.84,0.154597
1708.49,0.170811
667.084,0.066528
1027.12,0.10265
1475.69,0.147344
2346.33,0.234519
1588.89,0.158433
1271.77,0.127159
1551.19,0.155104
1449.93,0.144965
3056.47,0.29322
920.515,0.0920393
746.901,0.0744674
1635.12,0.163472
680.051,0.0679714
922.677,0.092212
1901.32,0.189372
1145.51,0.114538
1754.73,0.175457
1056.05,0.105535
777.895,0.0777764
1503.53,0.149968
861.807,0.0861051
1467.55,0.146681
2285.59,0.228513
1160.7,0.115947
616.614,0.0616394
2229.75,0.222928
897.609,0.0897559
2544.93,0.25435
436.17,0.0436139
1219.22,0.12189
804.405,0.0804177
2437.01,0.243482
884.347,0.0883164
1686.14,0.168405
950.217,0.0950118
1433.67,0.143308
482.069,0.0481811
1401.52,0.140128
1531.36,0.153116
2577.74,0.257654
1876.98,0.187344
2193.02,0.219226
1820.29,0.182007
2270.28,0.227002
5149.26,0.514766
1119.77,0.11195
3176.16,0.316848
818.724,0.0818584
749.028,0.0748938
952.988,0.09528
715.431,0.0715253
2355.77,0.235506
6511.09,0.650249
2542.8,0.254163
1003.54,0.100335
1506.64,0.150571
2533.39,0.253244
1171.45,0.114889
1138.44,0.113818
1513.64,0.151299
2166.16,0.216584
1592.79,0.159227
1050.61,0.105048
1085.39,0.108407
1268.51,0.126758
1575.61,0.157525
911.809,0.0911585
5425.82,0.542055
2071.92,0.207166
1009.3,0.100923
652.695,0.065263
465.607,0.0465519
954.687,0.0954228
1106.57,0.11024
2362.38,0.235821
2136.87,0.21363
1163.04,0.116297
10000.3,0.99886
2416.92,0.241266
1160.65,0.115975
668.374,0.0668344
1710.98,0.17088
849.043,0.0848584
1244.26,0.124416
851.193,0.0850637
1995.06,0.199482
1392.32,0.139205
1043.83,0.104366
557.985,0.0557938
2218,0.221764
2305.53,0.230462
686.578,0.0685352
1031.6,0.103096
1349.46,0.134933
1085.31,0.108528
1399.9,0.139791
595.025,0.0595009
1258.43,0.125824
705.574,0.0705041
607.631,0.0607619
2705.09,0.270296
6725.77,0.671607
1568.36,0.156591
2721.46,0.271909
13854,1.37915
1469.12,0.14671
