Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^0,HO_2^-1,O^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^0,OH^-1,O^-1,e_aq^-1
1,0.820173,0.153189,0.0359919,4.14279,0.0186792,0,0.126918,0.00369541,0,0,0,4.86651,0.00608913,5.09337e-05,4.14462
1.25893,0.803597,0.154801,0.0408234,4.14169,0.0207584,0,0.111392,0.00371732,0,0,0,4.86251,0.00847826,5.61657e-05,4.14109
1.58489,0.793533,0.155966,0.0459579,4.14049,0.0216068,0,0.103682,0.00361365,0,0,0,4.85321,0.0100339,4.95797e-05,4.13837
1.99526,0.785066,0.156891,0.051716,4.13921,0.0222786,0,0.0974822,0.00352386,0,0,0,4.84324,0.0110427,7.36899e-05,4.13604
2.51189,0.776764,0.157796,0.0574421,4.13766,0.0229667,0,0.0916714,0.00339149,0,0,0,4.83191,0.0123502,9.21057e-05,4.13319
3.16228,0.76946,0.158663,0.0634214,4.13602,0.0235407,0,0.0869173,0.00331366,0,0,0,4.81988,0.0136841,0.000146425,4.1302
3.98107,0.762174,0.159528,0.0694059,4.13415,0.0239229,0,0.0827029,0.0033546,0,0,0,4.80682,0.0153117,0.000156463,4.12667
5.01187,0.755224,0.160251,0.0757975,4.13197,0.0245058,0,0.0785071,0.00325732,0,0,0,4.79348,0.0171413,0.000156463,4.12264
6.30957,0.747924,0.16098,0.0827092,4.12989,0.024954,0,0.0746347,0.00321202,6.94564e-07,0,0,4.77836,0.0192533,0.000183347,4.1184
7.94328,0.740948,0.161788,0.0902663,4.12742,0.0252842,8.32702e-06,0.0711291,0.00312003,2.95889e-06,0,0,4.76068,0.0215027,0.000186712,4.11366
10,0.73403,0.162779,0.0981519,4.12475,0.0257206,9.78408e-06,0.0676772,0.00315829,2.95889e-06,0,0,4.74075,0.0239218,0.000225026,4.10851
12.5893,0.726819,0.163693,0.106194,4.12215,0.0259437,3.19024e-05,0.0647713,0.00314242,2.95889e-06,0,0,4.71941,0.0268036,0.000243527,4.10302
15.8489,0.719221,0.164768,0.114697,4.11918,0.0263364,3.19024e-05,0.0616275,0.00314741,2.95889e-06,0,0,4.69594,0.0293453,0.000279652,4.09748
19.9526,0.711862,0.165892,0.124476,4.11578,0.0267885,3.26816e-05,0.0585199,0.00318649,2.95889e-06,0,0,4.66896,0.0326407,0.000340134,4.09071
25.1189,0.704134,0.167157,0.134821,4.11177,0.0269576,3.26816e-05,0.0560597,0.00332158,2.95889e-06,0,0,4.63871,0.0362122,0.000359459,4.08313
31.6228,0.696353,0.168468,0.146733,4.10683,0.0273129,4.03034e-05,0.0534067,0.00337253,2.95889e-06,0,0,4.60462,0.0401098,0.000411572,4.07421
39.8107,0.688708,0.169803,0.159096,4.10154,0.0275452,4.76047e-05,0.0508663,0.00346153,2.95889e-06,0,0,4.56815,0.045217,0.000494585,4.06377
50.1187,0.680183,0.171356,0.173089,4.0953,0.0276585,4.94886e-05,0.0486011,0.00368673,6.94564e-07,0,0,4.52628,0.0507315,0.000542407,4.05199
63.0957,0.672163,0.17289,0.188165,4.08774,0.0278652,7.87413e-05,0.0463374,0.00388494,6.94564e-07,0,0,4.4806,0.0562432,0.000610642,4.0388
