Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^-1,HO_2°^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^-1,O^-1,°O^0,e_aq^-1,°OH^0
1,1.11622,0.11909,0.0378052,4.23674,1.51406e-05,0.0154955,0.00228985,0,0,0,0.0111117,0.000235414,0.0978029,4.23303,5.25265
1.25893,1.10304,0.120609,0.0428134,4.23507,1.51406e-05,0.0172608,0.00226248,0,0,0,0.0135471,0.000235414,0.086032,4.22892,5.24488
1.58489,1.09451,0.121473,0.0474529,4.23345,1.51406e-05,0.0179325,0.00221297,0,0,0,0.0151779,0.00024956,0.0800176,4.22566,5.23325
1.99526,1.08692,0.122262,0.0531546,4.23147,1.51406e-05,0.018463,0.00214003,0,0,0,0.0163259,0.000284457,0.0749092,4.22245,5.22013
2.51189,1.07973,0.123074,0.0588044,4.22928,1.51406e-05,0.0190427,0.00204662,0,0,0,0.0177864,0.000274348,0.0705463,4.21881,5.20688
3.16228,1.07325,0.123787,0.0653154,4.22652,2.45316e-05,0.0193142,0.00199051,0,0,0,0.0192178,0.000295256,0.0669624,4.21459,5.19308
3.98107,1.06635,0.124604,0.0715882,4.22404,2.45316e-05,0.0197778,0.00195473,0,0,0,0.0212912,0.000307344,0.0632003,4.21007,5.17896
5.01187,1.05954,0.125493,0.0779213,4.22147,2.45316e-05,0.0201004,0.00194664,0,0,0,0.0238691,0.000330515,0.0599693,4.20492,5.16276
6.30957,1.05265,0.126307,0.0848433,4.21902,3.22353e-05,0.0205162,0.00187617,0,0,0,0.0261752,0.000367273,0.0569488,4.20011,5.14603
7.94328,1.04603,0.127157,0.0924073,4.21607,3.22353e-05,0.0207625,0.00192212,0,0,0,0.0289193,0.00037073,0.0542178,4.19444,5.1262
10,1.03911,0.128049,0.100093,4.21313,4.72553e-05,0.0208357,0.00198559,0,0,0,0.0317691,0.000387464,0.0518136,4.1886,5.10437
12.5893,1.03171,0.129049,0.108809,4.20943,5.22771e-05,0.0210988,0.00199844,0,0,0,0.034753,0.000425034,0.0493763,4.18186,5.07955
15.8489,1.02404,0.130321,0.117308,4.20544,6.15034e-05,0.0213177,0.00202872,0,0,0,0.0382659,0.000482373,0.0472291,4.17428,5.05181
19.9526,1.01574,0.131493,0.126958,4.20113,6.15034e-05,0.0215348,0.0020103,7.30664e-06,0,0,0.0424292,0.00054231,0.0448626,4.16576,5.02115
25.1189,1.00729,0.132759,0.137843,4.19582,5.37769e-05,0.0217717,0.00213308,7.30664e-06,0,0,0.0468702,0.000567868,0.0426503,4.15597,4.9867
31.6228,0.998312,0.134161,0.150566,4.19004,6.16602e-05,0.0219584,0.00222847,1.02044e-05,0,0,0.051898,0.000726267,0.0405636,4.14499,4.94743
39.8107,0.988981,0.135783,0.164073,4.18303,5.72697e-05,0.0220358,0.00230273,1.06381e-05,0,0,0.0576757,0.0008087,0.0386943,4.13215,4.90392
50.1187,0.978807,0.137894,0.179277,4.17484,7.04943e-05,0.0222844,0.00244017,1.1725e-05,0,0,0.0640707,0.000892485,0.0368045,4.11745,4.85513
63.0957,0.967689,0.140136,0.195864,4.16559,7.48917e-05,0.0223814,0.00260426,1.61577e-05,0,0,0.071228,0.0010522,0.0349918,4.1009,4.80188
79.4328,0.956827,0.142377,0.213482,4.15484,0.000106373,0.0225099,0.00276685,2.27024e-05,0,0,0.0787857,0.00129934,0.0332664,4.0823,4.74306
100,0.946034,0.145048,0.232912,4.14245,0.000114008,0.0227377,0.00293167,2.27024e-05,0,0,0.0873152,0.0015728,0.031667,4.06107,4.67869
125.892,0.935506,0.147951,0.25296,4.12843,0.00012421,0.0229537,0.00307333,3.2181e-05,0,0,0.0972735,0.00186411,0.0302642,4.03682,4.61118
158.489,0.924266,0.151194,0.274467,4.11282,0.000162074,0.023108,0.00327577,4.04115e-05,0,0,0.107754,0.00225442,0.0289739,4.01027,4.53784
199.526,0.914408,0.154766,0.296242,4.09526,0.000152121,0.0232414,0.00343531,9.23654e-05,0,0,0.119139,0.00274732,0.0278173,3.98081,4.46238
251.189,0.904645,0.158591,0.319299,4.07653,0.000244134,0.0233376,0.00375968,9.5216e-05,0,0,0.130994,0.0033413,0.0266572,3.94953,4.38345
316.228,0.895893,0.162701,0.342399,4.05533,0.000270856,0.02328,0.00402467,0.000100025,0,0,0.14366,0.00393554,0.0255784,3.91501,4.30184
398.107,0.886897,0.167109,0.365241,4.03279,0.000299445,0.0234299,0.00427925,0.000126955,0,0,0.156412,0.00484433,0.0244631,3.87877,4.21963
501.187,0.878075,0.171836,0.388447,4.00962,0.000332767,0.0234406,0.0045231,0.000203957,0,0,0.170409,0.00567094,0.0235595,3.84069,4.13576
630.957,0.871055,0.176782,0.410803,3.98437,0.000384815,0.0234327,0.00486069,0.000221636,0,0,0.184298,0.00675762,0.0227355,3.80044,4.05363
794.328,0.865337,0.182088,0.430399,3.95746,0.000508411,0.0232918,0.00516739,0.00025305,0,0,0.199344,0.00777547,0.0218442,3.75732,3.97401
999.999,0.859809,0.187793,0.449976,3.93013,0.000578923,0.0231645,0.00544377,0.000289697,0,0,0.215349,0.00889099,0.0212064,3.71278,3.89608
1258.92,0.855935,0.193857,0.467822,3.9012,0.000728858,0.0230208,0.00569503,0.000353619,0,0,0.231498,0.00995714,0.0205753,3.66639,3.82143
1584.89,0.85247,0.200096,0.484846,3.8717,0.000830408,0.0228579,0.00592149,0.000380061,0,0,0.247426,0.0111564,0.0200259,3.61971,3.7487
1995.26,0.84976,0.206557,0.500106,3.84234,0.000889432,0.02289,0.0061372,0.00037584,0,0,0.264071,0.0127385,0.0194242,3.57203,3.67995
2511.89,0.848114,0.213091,0.51282,3.8121,0.00105081,0.0228629,0.00629386,0.00045246,0,0,0.280597,0.0141907,0.0189087,3.52361,3.61548
3162.28,0.847118,0.219619,0.524729,3.78226,0.00112384,0.0228146,0.0064564,0.000505536,0,0,0.297803,0.0154838,0.018466,3.47517,3.5541
