EnergyDeposit(eV),LET(keV/um)
1724.55,0.172337
2552,0.25517
1387.02,0.138671
1214.22,0.121049
978.728,0.097864
1595.85,0.159302
3071.84,0.30703
1090.81,0.10897
4031.1,0.401583
1487.54,0.148095
895.556,0.0894831
884.506,0.0874636
1476.93,0.147418
3888.56,0.387972
1103.14,0.11022
1103.88,0.110312
699.927,0.0699918
2151.2,0.214997
904.056,0.0903323
1672.97,0.167162
3718.04,0.371518
736.677,0.0734559
1983.09,0.198094
1109.49,0.11093
1673.09,0.167268
1003.09,0.100245
877.299,0.0877212
1129.33,0.112823
3220.51,0.32175
2975.34,0.297492
1188.54,0.118068
1588.3,0.158694
846.917,0.0846813
1990.81,0.19907
985.172,0.0984798
1340.96,0.134075
983.111,0.0983009
923.985,0.0917013
911.227,0.091105
2779.23,0.277885
2841.64,0.284035
1695.5,0.169469
2766.93,0.276462
521.533,0.0521522
1429.56,0.142916
3638.3,0.363795
951.16,0.0951089
2179.74,0.217874
1255.3,0.124664
1161.99,0.116135
2044.59,0.204419
11514.9,1.14897
975.868,0.0975325
1006.34,0.10059
776.043,0.077592
2422.36,0.24211
1020.69,0.102063
2422.06,0.242029
1005.07,0.099256
978.306,0.0978197
3246.08,0.324487
2205.66,0.220462
2445.61,0.244229
1213.66,0.121317
1822.4,0.17946
1191.09,0.11909
1988.88,0.195474
2133.58,0.213336
23862.8,2.36556
610.306,0.0608819
801.47,0.0801301
1032.72,0.103268
1261.27,0.125923
1995.78,0.199432
3442.14,0.344004
2160.55,0.214132
2029.35,0.20291
1829.5,0.18252
552.343,0.0552236
1433.41,0.143333
1202.42,0.120234
3192.66,0.31895
980.775,0.0979418
882.332,0.0881913
551.997,0.0551985
927.525,0.0926381
1147.2,0.114519
621.854,0.0621806
1760.56,0.176011
1858.43,0.185822
845.098,0.0843834
1912.81,0.190582
1868.92,0.186807
3629.84,0.362728
2548.16,0.254705
743.488,0.0742756
1400.15,0.139987
1243.41,0.124307
10824.8,1.08142
1292.98,0.129203
673.391,0.0673248
3769.77,0.376738
1536.93,0.15358
1302.84,0.130182
1121.6,0.112078
2597.06,0.259466
1140.28,0.113975
779.171,0.0778474
788.644,0.0788624
1099.69,0.109883
1063.62,0.106355
620.216,0.0620178
1207.92,0.120629
1742,0.174157
1045.71,0.104488
1751.05,0.175071
669.943,0.0669935
1172.53,0.117245
393.623,0.0393613
761.829,0.0761624
2521.04,0.251896
1272.54,0.127215
1236.54,0.123544
1428.74,0.14282
959.946,0.0958844
599.725,0.0599712
1532.43,0.153154
1095.31,0.109329
715.528,0.0714737
6333.44,0.633007
2227.07,0.222678
1836.96,0.183689
953.917,0.0953822
963.696,0.0963374
1958.45,0.19565
2523.13,0.252188
1013.25,0.101304
1850.68,0.185039
1003.6,0.098727
1212.69,0.121259
735.958,0.0733386
1260.79,0.126057
2949.1,0.294827
1655.74,0.165455
1612.31,0.160725
1301.33,0.13012
21391,2.13325
2199.39,0.219896
633.477,0.063321
2226.07,0.22233
474.933,0.0474769
6803.55,0.67955
685.393,0.0685079
903.725,0.0903521
3102.71,0.309881
1874.36,0.187208
564.076,0.0563556
678.447,0.0678141
824.476,0.0824368
979.331,0.0978727
2486.32,0.24849
988.903,0.0988576
1299.52,0.12993
690.629,0.0690554
894.456,0.0894126
792.648,0.0792554
414.414,0.0414265
5379.94,0.536869
1127.1,0.112568
777.404,0.0777391
1219.29,0.121893
810.852,0.0810818
1330.34,0.132995
1040.56,0.104006
660.123,0.0660082
1648.98,0.164846
1104.05,0.110388
616.879,0.0616174
1139.68,0.113571
1081.24,0.108098
1638.37,0.163765
869.282,0.0869031
1109.59,0.110915
1098.49,0.109798
1044.16,0.104366
1042.59,0.104165
1057.69,0.105762
1485.96,0.148226
1265.91,0.126409
1088.2,0.108763
15829.4,1.58085
907.617,0.0907364
761.697,0.0761259
845.236,0.0843284
1302.09,0.130162
735.544,0.0735515
1260,0.125728
1414.3,0.141358
1258.12,0.125704
943.794,0.0943317
5560.42,0.55515
705.897,0.0705672
622.913,0.0622729
1100.86,0.110042
1027.45,0.102535
1412.22,0.141189
891.218,0.0891187
837.925,0.0837802
1461.55,0.146014
1448.21,0.144816
2358.25,0.235754
917.008,0.0916895
3919.56,0.391854
1076.68,0.107612
1010.11,0.100833
831.143,0.0830574
448.703,0.0448156
844.795,0.0842033
1403.46,0.139437
735.353,0.0735296
