Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^-1,HO_2°^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^-1,O^-1,°O^0,e_aq^-1,°OH^0
1,0.820421,0.154546,0.0369101,4.14624,0,0.018614,0.00329098,0,4.48615e-06,0,0.00622156,0.000159286,0.128537,4.14751,4.86928
1.25893,0.804443,0.156351,0.0416102,4.14517,0,0.021066,0.00328328,0,4.48615e-06,0,0.00864928,0.000175615,0.11336,4.14399,4.86495
1.58489,0.795172,0.157015,0.046113,4.14409,0,0.0219279,0.00326905,0,4.48615e-06,0,0.00998653,0.000175615,0.105794,4.14158,4.85628
1.99526,0.786598,0.157625,0.0510722,4.14277,0,0.0226716,0.00323304,0,4.48615e-06,0,0.011412,0.00019953,0.0989477,4.13883,4.84605
2.51189,0.778687,0.158378,0.056764,4.14134,0,0.0231596,0.00329063,0,4.48615e-06,0,0.012678,0.000209024,0.0933448,4.13611,4.83473
3.16228,0.771047,0.159072,0.062774,4.13989,0,0.0237497,0.00317452,0,4.48615e-06,0,0.0141407,0.000216666,0.0881891,4.13314,4.82381
3.98107,0.763465,0.160055,0.0693401,4.13781,0,0.0242879,0.0031706,0,4.48615e-06,0,0.0156381,0.000261546,0.0833492,4.12958,4.81144
5.01187,0.756777,0.160959,0.0754182,4.13603,6.89824e-06,0.0247963,0.00305806,0,4.48615e-06,0,0.0176118,0.00026928,0.079598,4.1258,4.79816
6.30957,0.749682,0.161628,0.0825261,4.13395,1.11378e-05,0.0252248,0.00305007,0,4.48615e-06,0,0.0197472,0.000280664,0.075551,4.12156,4.78321
7.94328,0.742929,0.162472,0.0898027,4.13163,2.12216e-05,0.0256245,0.00302232,0,4.48615e-06,0,0.0220707,0.000296309,0.0719309,4.11691,4.76623
10,0.736228,0.163326,0.0974889,4.12929,2.42208e-05,0.0259517,0.00303148,0,4.48615e-06,0,0.0245363,0.000320138,0.0686685,4.11206,4.74804
12.5893,0.728992,0.164114,0.105343,4.12645,2.42208e-05,0.0263589,0.00299436,0,4.48615e-06,0,0.0269373,0.000348138,0.0651447,4.10682,4.72666
15.8489,0.721321,0.165311,0.114045,4.12343,2.12216e-05,0.0267913,0.0030651,0,4.48615e-06,0,0.0301313,0.000375598,0.0619104,4.10057,4.70235
19.9526,0.713957,0.16661,0.123938,4.1201,2.81308e-05,0.0270236,0.00314594,0,4.48615e-06,0,0.0334801,0.000437243,0.0593891,4.09383,4.6747
25.1189,0.705826,0.167738,0.134354,4.11628,3.242e-05,0.0273912,0.00317973,0,4.48615e-06,0,0.0368582,0.000517242,0.0563458,4.08653,4.64559
31.6228,0.697769,0.169059,0.145696,4.11166,2.77611e-05,0.0275509,0.00339362,1.01511e-05,4.48615e-06,0,0.0411253,0.000640026,0.0536098,4.0775,4.61157
39.8107,0.689512,0.170484,0.158646,4.10644,3.17031e-05,0.0278926,0.00348121,1.78245e-05,4.48615e-06,0,0.0458141,0.000702101,0.0509046,4.06751,4.5743
50.1187,0.681637,0.171963,0.172271,4.09994,3.17031e-05,0.0282104,0.00370362,1.78245e-05,4.48615e-06,0,0.0506273,0.000821601,0.0484845,4.0561,4.53348
63.0957,0.673146,0.173824,0.186844,4.09192,3.17031e-05,0.028598,0.00383696,2.47026e-05,4.48615e-06,0,0.056817,0.000911276,0.0461659,4.04178,4.48692
79.4328,0.665267,0.175596,0.203252,4.08354,4.33962e-05,0.0290182,0.00404423,1.67485e-05,4.48615e-06,0,0.0639691,0.00111019,0.0439287,4.02606,4.43686
100,0.657241,0.177735,0.220927,4.07366,5.35747e-05,0.0293341,0.00434508,1.7869e-05,4.48615e-06,0,0.0717667,0.00136349,0.041666,4.00812,4.38189
125.892,0.649819,0.179945,0.239673,4.06196,9.59905e-05,0.0295897,0.00460046,2.02226e-05,4.48615e-06,0,0.0804019,0.00156318,0.0397947,3.98754,4.32183
158.489,0.64317,0.182535,0.259206,4.04893,0.000136153,0.0297481,0.0048846,2.16396e-05,4.48615e-06,0,0.0896853,0.00185803,0.0379862,3.96488,4.26084
199.526,0.636872,0.185124,0.279279,4.03404,0.000158891,0.0301416,0.00522256,3.27479e-05,4.48615e-06,0,0.0987506,0.00232042,0.0361647,3.94044,4.19506
251.189,0.631492,0.188261,0.300032,4.01654,0.000162867,0.0303141,0.00566297,3.45738e-05,4.48615e-06,0,0.109003,0.0026899,0.0346834,3.91229,4.12674
316.228,0.626785,0.191555,0.321269,3.99825,0.000201611,0.0302683,0.00618453,5.76354e-05,4.48615e-06,0,0.12098,0.00322444,0.0331456,3.88144,4.05588
398.107,0.623073,0.194752,0.342551,3.97838,0.000248398,0.030374,0.0065376,0.0001074,4.48615e-06,0,0.133256,0.00390759,0.0318965,3.84851,3.98292
501.187,0.620318,0.198637,0.363694,3.95619,0.000373918,0.030468,0.00692001,0.000123523,4.48615e-06,0,0.147444,0.00450213,0.0306632,3.81141,3.90885
630.957,0.61835,0.202944,0.383116,3.93178,0.000478459,0.0304991,0.00730274,0.000153665,6.18924e-06,0,0.160696,0.00539374,0.0296101,3.77276,3.83603
794.328,0.617037,0.2072,0.402294,3.9062,0.000540542,0.0305231,0.00762804,0.000205573,6.18924e-06,0,0.175428,0.00639301,0.0286073,3.73133,3.76364
999.999,0.616127,0.211991,0.41989,3.87994,0.0006999,0.0303876,0.00798936,0.000246726,6.18924e-06,0,0.192136,0.0072271,0.0275908,3.68731,3.69258
1258.92,0.617201,0.21684,0.436999,3.85211,0.000813848,0.0304088,0.00821802,0.000268392,6.18924e-06,0,0.208673,0.0083864,0.0267025,3.64169,3.62325
1584.89,0.618385,0.222029,0.451912,3.82287,0.000941032,0.03039,0.00851836,0.00030399,9.85251e-06,0,0.225539,0.00953063,0.0258843,3.5943,3.55652
1995.26,0.619886,0.227455,0.464943,3.79347,0.00114054,0.0303237,0.00871923,0.000401695,2.13075e-05,0,0.242044,0.0108131,0.0251373,3.54687,3.49351
2511.89,0.621985,0.233114,0.477005,3.76457,0.00121101,0.0303027,0.0088893,0.000506738,2.13075e-05,1.96016e-06,0.260461,0.0118548,0.0244333,3.49832,3.43382
3162.28,0.623663,0.238741,0.487199,3.73538,0.00137227,0.0301882,0.00893597,0.000609905,2.13075e-05,7.82249e-06,0.277818,0.0130368,0.0240079,3.45031,3.37734
3981.07,0.625918,0.24445,0.496467,3.70641,0.00156856,0.0298698,0.00906239,0.000791578,2.13075e-05,5.86233e-06,0.295059,0.0140105,0.0235209,3.40279,3.32442
5011.87,0.628609,0.250669,0.504169,3.67793,0.00175134,0.0297033,0.00910198,0.000876243,2.32352e-05,7.06003e-06,0.312871,0.0150992,0.0231861,3.35519,3.27606
6309.57,0.630624,0.256544,0.510464,3.65133,0.00202445,0.0295007,0.0092671,0.000950505,2.32352e-05,1.1977e-06,0.330967,0.0163434,0.0227838,3.30901,3.23011
7943.28,0.633397,0.262215,0.516016,3.62528,0.00220134,0.0292675,0.00936354,0.00106564,2.32352e-05,1.1977e-06,0.347964,0.0174115,0.0224449,3.26469,3.18777
9999.99,0.635578,0.26788,0.520258,3.60008,0.0023364,0.0291127,0.00943694,0.00119,2.32352e-05,1.1977e-06,0.365188,0.0184596,0.0221472,3.22106,3.14814
12589.2,0.637461,0.273588,0.523318,3.57623,0.00249855,0.0287962,0.00957811,0.00132239,2.32352e-05,7.2384e-06,0.38127,0.0195471,0.0218677,3.17991,3.11305
15848.9,0.640221,0.278976,0.526459,3.55321,0.00267096,0.0284897,0.00966657,0.00152939,2.32352e-05,5.59357e-06,0.396559,0.0203869,0.0216729,3.14044,3.07998
19952.6,0.641906,0.283984,0.529036,3.53203,0.00266476,0.0283059,0.00964822,0.0017144,2.32352e-05,3.71156e-06,0.411112,0.0214787,0.0215085,3.10371,3.04956
25118.8,0.643562,0.288634,0.530978,3.51217,0.00274321,0.0281581,0.0096631,0.00179819,2.32352e-05,3.71156e-06,0.424348,0.0222554,0.0213367,3.06992,3.02201
31622.8,0.644145,0.293072,0.532952,3.49438,0.00283748,0.0279171,0.00970575,0.00193393,2.32352e-05,7.78987e-06,0.437591,0.0227501,0.0211049,3.03849,2.99598
39810.7,0.645689,0.296917,0.534424,3.47741,0.00290967,0.027573,0.009773,0.00210813,2.32352e-05,8.20278e-06,0.449403,0.0230443,0.0209954,3.00957,2.97363
50118.7,0.646796,0.300887,0.53587,3.46153,0.00293537,0.0273482,0.00974999,0.00225851,2.32352e-05,1.34632e-05,0.460108,0.0236221,0.020876,2.98275,2.95256
63095.7,0.647817,0.304353,0.53679,3.44698,0.00300028,0.0270608,0.00972723,0.00255491,2.32352e-05,1.34632e-05,0.470375,0.023528,0.020756,2.95852,2.93482
79432.8,0.64874,0.307504,0.537933,3.43285,0.00303482,0.0266015,0.00975902,0.00290094,2.32352e-05,1.34632e-05,0.478909,0.0235968,0.0206571,2.93652,2.91815
99999.9,0.649811,0.310209,0.538665,3.42033,0.0029852,0.0263788,0.00977305,0.00317896,2.32352e-05,1.52102e-05,0.487068,0.0231933,0.0205629,2.91692,2.90393
125892,0.650842,0.312551,0.539612,3.40853,0.00285571,0.025829,0.00979593,0.00362546,2.32352e-05,1.52102e-05,0.494755,0.0227918,0.0204829,2.89896,2.89101
158489,0.651724,0.314924,0.540125,3.39727,0.00276984,0.0254139,0.00978316,0.00405473,2.32352e-05,1.66942e-05,0.501718,0.0221462,0.0203574,2.88279,2.88011
199526,0.652333,0.316933,0.541166,3.38679,0.00259909,0.0249478,0.00979342,0.00454131,2.32352e-05,1.45081e-05,0.507693,0.0213991,0.0202686,2.8686,2.86987
251188,0.653261,0.318729,0.541898,3.37644,0.00243888,0.0243962,0.00977803,0.00506347,2.32352e-05,1.45081e-05,0.513261,0.0202419,0.0202232,2.85564,2.86145
316227,0.653923,0.320365,0.542541,3.36692,0.00226432,0.0237746,0.00980874,0.00565098,2.32352e-05,1.45081e-05,0.518807,0.0191667,0.0201547,2.84365,2.85403
398107,0.654811,0.321719,0.543354,3.35796,0.00200651,0.0231461,0.00982163,0.00625276,2.32352e-05,1.61865e-05,0.52353,0.0177873,0.020108,2.83336,2.84763
501187,0.65578,0.323003,0.54397,3.34946,0.00184365,0.0223941,0.00985214,0.00695966,2.32352e-05,1.44394e-05,0.528357,0.0162157,0.0200682,2.82347,2.84184
630957,0.656388,0.324188,0.544657,3.34177,0.00160439,0.021556,0.00985147,0.00782046,2.32352e-05,1.66665e-05,0.532865,0.0145156,0.0200287,2.81506,2.83743
794327,0.657016,0.325145,0.545069,3.33456,0.00146556,0.020915,0.0098738,0.00845016,2.32352e-05,1.66665e-05,0.536264,0.013063,0.019984,2.80814,2.83388
999999,0.657467,0.325722,0.545422,3.32979,0.00131696,0.0206239,0.00989713,0.00872131,2.32352e-05,1.82059e-05,0.538104,0.0122226,0.0199602,2.80389,2.83167
