Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^-1,HO_2°^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^-1,O^-1,°O^0,e_aq^-1,°OH^0
1,1.12309,0.120362,0.0375013,4.23855,1.53781e-06,0.0152393,0.00200346,0,4.54498e-07,0,0.0107005,0.000235941,0.0998976,4.23565,5.26265
1.25893,1.10969,0.122186,0.0420143,4.23705,1.53781e-06,0.0169844,0.00198896,2.88877e-06,4.54498e-07,0,0.0133548,0.000235387,0.0881022,4.23151,5.25566
1.58489,1.1021,0.122922,0.0470881,4.23558,1.53781e-06,0.0177861,0.00193321,2.88877e-06,4.54498e-07,0,0.0147665,0.000252034,0.0824235,4.22856,5.2436
1.99526,1.09433,0.123584,0.0523432,4.2336,1.53781e-06,0.018355,0.0019307,2.88877e-06,4.54498e-07,0,0.0160524,0.000265706,0.077302,4.22527,5.23067
2.51189,1.08735,0.124301,0.0582545,4.23121,1.53781e-06,0.0188443,0.00186728,2.88877e-06,4.54498e-07,0,0.0176932,0.000275466,0.0729259,4.22122,5.2174
3.16228,1.08078,0.125255,0.0642175,4.22865,1.53781e-06,0.0192672,0.00183621,2.88877e-06,4.54498e-07,0,0.0192597,0.000295886,0.069059,4.21707,5.20409
3.98107,1.07424,0.126083,0.070538,4.22601,1.53781e-06,0.0196294,0.00180145,2.88877e-06,4.54498e-07,0,0.0212241,0.000322087,0.0655045,4.2125,5.18992
5.01187,1.06767,0.12683,0.0769208,4.22355,1.53781e-06,0.0198668,0.00182347,2.88877e-06,4.54498e-07,0,0.0236259,0.0003477,0.0626029,4.20765,5.17457
6.30957,1.06097,0.127653,0.0835494,4.22102,4.42658e-06,0.0201711,0.00181415,0,4.54498e-07,0,0.0256528,0.000370709,0.0596955,4.20309,5.15762
7.94328,1.05458,0.12839,0.0907113,4.21772,1.89392e-05,0.0205357,0.00181621,1.45941e-06,4.54498e-07,0,0.0282826,0.000376106,0.0570011,4.1971,5.13726
10,1.04775,0.129317,0.0984718,4.21442,1.89392e-05,0.0207166,0.00184518,1.45941e-06,4.54498e-07,0,0.0309689,0.000397429,0.0544188,4.19112,5.11589
12.5893,1.04072,0.130247,0.106732,4.21091,2.40545e-05,0.0210584,0.00181782,1.45941e-06,4.54498e-07,0,0.0341214,0.000434821,0.0520768,4.18437,5.09114
15.8489,1.03323,0.131469,0.115896,4.20655,2.50108e-05,0.0213899,0.00183125,2.16955e-05,4.54498e-07,0,0.0377826,0.000459287,0.0496039,4.17632,5.06402
19.9526,1.0256,0.13262,0.126232,4.20179,2.50108e-05,0.0215433,0.00187889,2.16955e-05,4.54498e-07,0,0.0415422,0.000520054,0.0473548,4.16774,5.03295
25.1189,1.01717,0.134026,0.137125,4.19676,2.68078e-05,0.0217897,0.00191692,2.16955e-05,4.54498e-07,0,0.0459239,0.000632406,0.0451875,4.15821,4.99839
