EnergyDeposit(eV),LET(keV/um)
1302.2,0.1302
1163.61,0.116344
1016.39,0.10158
848.589,0.0848364
635.353,0.063523
2417.43,0.241369
1177.38,0.11767
936.063,0.0935471
1570.34,0.156886
3939.79,0.392897
940.52,0.0940448
1343.79,0.134369
659.566,0.0658982
1987.36,0.198718
800.42,0.080026
2803.3,0.279982
5886.49,0.587744
1646.23,0.164508
922.288,0.0922231
1542.73,0.154049
25580.7,2.54754
726.181,0.0726111
1584.38,0.158343
1230.82,0.123045
1708.91,0.170661
2189.17,0.218721
633.366,0.0633343
2611.99,0.260022
1043.16,0.10399
1281.95,0.128188
1589.77,0.158941
2858.95,0.285639
660.793,0.0659651
1209.6,0.120919
1698.88,0.169613
5735.23,0.572508
2122.94,0.212238
1524.93,0.152445
1227.21,0.122419
2431.06,0.242359
1127.49,0.112703
2160.05,0.215967
2900.49,0.289955
2344.84,0.234459
857.361,0.0857238
939.825,0.0939408
22026.4,2.19444
598.872,0.0598636
1244.29,0.124389
5445.8,0.544052
1517.01,0.151115
3206.2,0.320528
681.883,0.0680869
585.399,0.0585132
737.863,0.0737266
596.458,0.0596374
812.604,0.0812392
895.204,0.0894648
1917.42,0.191534
1207.07,0.120632
1244.51,0.124304
1586.61,0.158474
1390.97,0.139088
1489.5,0.148911
5048.44,0.502952
1463.68,0.146333
2043.47,0.204238
1974.82,0.197357
1448.32,0.14481
1500.84,0.150026
1041.5,0.104132
7537.67,0.752198
987.112,0.0986831
1669.8,0.166951
2481.26,0.247893
891.019,0.0889752
3199.06,0.319531
1846.67,0.184641
1354.5,0.135254
1033.33,0.103326
563.94,0.0563885
944.41,0.0944294
529.296,0.0529266
1460.93,0.146076
1465.99,0.146543
1250.16,0.124831
732.851,0.0732687
885.568,0.088447
1909.81,0.190906
1606.89,0.160614
587.098,0.059249
3727.25,0.37212
891.88,0.089171
1100.84,0.109986
1047.43,0.104709
866.98,0.0866932
6178.67,0.617318
1096.64,0.109629
1091.11,0.108516
804.259,0.0803656
1876.17,0.18758
1240.34,0.113026
798.52,0.0798315
903.75,0.0903701
474.3,0.0474059
1457.77,0.145685
1903.75,0.190326
1096.08,0.109594
1510.58,0.150972
1429.46,0.142833
809.667,0.080953
1671.36,0.16685
1047.73,0.104588
1002.06,0.100185
3027.18,0.302379
1219.74,0.12197
584.757,0.0584608
658.129,0.0658073
14313.6,1.97912
1018.85,0.101855
1663.95,0.166353
729.748,0.0728688
1024.73,0.102449
1046.6,0.104609
511.404,0.0510999
1014.46,0.101426
985.763,0.0985272
1298.83,0.129867
1390.3,0.138926
2301.22,0.230062
7111.18,0.710875
998.688,0.0998261
1220.26,0.121991
932.542,0.0932313
821.415,0.0820526
1035.35,0.103389
1858.25,0.185779
956.113,0.0955554
1329.4,0.13141
2176.37,0.217544
1630.54,0.16302
1223.76,0.122353
915.912,0.0915724
1540.7,0.154048
1166.52,0.116585
1014.92,0.101476
3339.35,0.333713
1000.53,0.102087
2090.7,0.208921
934.879,0.0934688
620.065,0.0619985
1754.38,0.175421
672.435,0.0671832
6607.95,0.66015
1312.83,0.131179
1095.95,0.109044
706.185,0.0706047
816.183,0.0816074
1229.05,0.122901
1066.07,0.106575
1604.59,0.160367
8951.54,0.890147
637.215,0.0637132
2146.34,0.214568
916.371,0.0915967
954.54,0.0954117
1870.95,0.187027
962.894,0.096274
8383.46,0.835893
842.465,0.0842226
1067.97,0.106786
1261.45,0.126116
1102.43,0.110156
1593.49,0.158756
6603.27,1.26824
1239.74,0.123345
1166.15,0.116567
3115.7,0.311439
1172.2,0.111505
3072.29,0.307165
944.719,0.0944156
3626.86,0.362608
1938.81,0.193857
864.897,0.0864476
973.44,0.0972293
2021.45,0.201943
1606.51,0.160469
2345.91,0.234494
2205.36,0.220462
1706.58,0.170588
967.271,0.0967061
1727.95,0.172773
3026.1,0.302376
940.578,0.0940153
3800.74,0.379731
977.29,0.0976892
955.282,0.0955017
1494.81,0.149367
862.988,0.0862824
1396.79,0.139012
673.885,0.067385
914.043,0.0913179
854.349,0.0853957
938.715,0.0938447
2618.24,0.261525
1146.08,0.114545
1713.5,0.171309
814.712,0.0814614
1680.31,0.16756
2359.68,0.235223
1538.14,0.153795
2207.66,0.220744
657.967,0.0657892
1949.45,0.194841
1289.39,0.128923
1197.11,0.119664
878.283,0.0876769
1076.21,0.107544
1170.62,0.117056
1234.02,0.123359
795.109,0.0794657
9978.1,0.990526
1211.47,0.121015
3481.6,0.347821
858.005,0.0857891
605.217,0.0605132
