EnergyDeposit(eV),LET(keV/um)
767.772,0.0767665
1241.67,0.123974
1161.02,0.11603
1176.37,0.117536
686.611,0.0686323
2413.55,0.241326
1700.19,0.169999
775.894,0.0775811
1192.55,0.118812
1970.42,0.19692
1061.9,0.106127
1827.93,0.182757
1951.16,0.194954
1564.78,0.156456
1133.68,0.11136
522.588,0.0522371
5182.03,0.517872
2760.7,0.27604
1515.74,0.151422
526.683,0.0526521
927.293,0.092688
1180.07,0.117976
1549.8,0.154882
950.11,0.0950089
1024.36,0.102417
516.346,0.0496064
2146.62,0.214592
870.939,0.0870795
1372.46,0.137034
1229.8,0.122962
955.297,0.0955262
1612.67,0.161254
1202.5,0.120175
763.674,0.076352
900.772,0.0900594
2245.79,0.22452
1369.72,0.136883
2009.81,0.200944
1032.11,0.103114
1184.6,0.118456
1515.89,0.151584
1118.27,0.111806
1828.21,0.182787
2346.74,0.234545
1419.66,0.141939
4087.33,0.406412
1396.25,0.119174
2194.84,0.219264
2280.7,0.227999
1476.24,0.147582
3070.88,0.306753
1515.61,0.151532
1091.44,0.109103
1063.57,0.106313
1240.91,0.124044
589.777,0.05897
3903.07,0.390208
547.762,0.0547533
534.552,0.0534478
1763.72,0.174422
871.14,0.0856356
751.429,0.0751209
887.08,0.0887052
3189.16,0.318616
767.895,0.0767823
1611.71,0.161153
3491.78,0.348611
1233.93,0.123356
720.95,0.0720758
2102.57,0.209893
817.959,0.0817212
1175.72,0.117346
1067.11,0.106686
4061.09,0.40588
867.768,0.0867304
879.111,0.0878898
1965.89,0.196471
1932.58,0.192984
1709.45,0.170929
976.436,0.0974011
994.536,0.0992736
1337.65,0.133693
733.042,0.0732714
980.095,0.0979685
1093.9,0.109366
832.42,0.0832005
1186.95,0.118542
944.656,0.0943352
1405.31,0.140513
1558.65,0.155765
1358.75,0.134987
1675.32,0.167301
3554.56,0.355005
1150,0.114989
1846.63,0.183836
981.433,0.0980835
3709.24,0.370511
1065.3,0.106511
1220.95,0.122027
1613.97,0.160991
876.668,0.0876545
1205.35,0.117226
796.775,0.0796446
1514.36,0.1514
1868.68,0.186848
1003.54,0.100297
1370.94,0.136887
2058.29,0.205709
2267.5,0.226546
2762.81,0.275876
651.949,0.0651782
1173.26,0.117276
1771.37,0.176942
1784.5,0.178414
1054.45,0.105402
683.336,0.0682487
1278.05,0.127777
1179.63,0.117872
835.499,0.0835091
1439.09,0.143857
677.508,0.0677497
2673.82,0.267334
658.154,0.0658104
1095.59,0.109454
1383.92,0.138152
788.492,0.0788464
1369.36,0.136761
2147.39,0.21469
1765.41,0.176532
863.458,0.0862727
579.499,0.0578992
1085.58,0.108462
2389.96,0.237343
1822.74,0.18225
1218.13,0.12178
4628.1,0.462286
1296.53,0.12959
1885.7,0.188446
2144.41,0.21326
1771.3,0.177021
1346.35,0.134443
741.469,0.0741453
581.849,0.058183
633.134,0.0632871
1293.09,0.129297
1023.64,0.102252
1406.95,0.140645
842.948,0.0842848
1558.87,0.155719
984.045,0.0983073
2346.82,0.234582
900.999,0.0900664
793.327,0.0791523
1111.15,0.111095
870.333,0.0870186
1356.81,0.13562
972.427,0.0972228
1289.78,0.128855
1692.53,0.169242
1045.5,0.104348
2772.88,0.276532
784.423,0.0783273
1125.81,0.112543
1606.59,0.160619
1675.03,0.16743
1118.22,0.111801
865.889,0.0865815
2654.57,0.265068
1947.3,0.194572
930.073,0.0929905
949.101,0.0948382
2722.41,0.271965
1260.07,0.125985
1285.07,0.128453
1026.14,0.102604
1179.48,0.117843
4431.13,0.442727
579.66,0.0579642
1588.13,0.158762
817.815,0.081774
817.147,0.0816977
3421.58,0.342133
1077.89,0.107772
965.31,0.0965206
1564.27,0.156402
1570.7,0.157026
868.957,0.0868488
1240.46,0.124014
1073.09,0.107239
1027.14,0.102673
1519.89,0.151769
1662.3,0.166095
743.127,0.0743119
7697.95,0.768173
1563.24,0.156271
3790.73,0.378727
1683.55,0.168163
1080.7,0.108037
986.608,0.0986313
642.417,0.0642408
988.92,0.0988889
972.637,0.0972318
2183.1,0.218223
1708.28,0.170735
1419.23,0.141756
1738.79,0.173837
1276.25,0.12761
2627.44,0.26248
1205.28,0.120466
1260.04,0.125989
1494.52,0.148674
1142.55,0.114251
1741.46,0.174003
684.889,0.0683587
1247.68,0.124756
1679.92,0.167975
3460.55,0.345973
5888.49,0.583627
1307.73,0.130761
857.996,0.0857957
2827.12,0.281901
10809.7,1.08005
1502.62,0.150222
1072.32,0.10698
2094.07,0.209285
1220.09,0.121987
1162,0.116186
851.853,0.0851594
773.088,0.0772956
1639.17,0.163913
1192.18,0.119183
2275.75,1.24482
1479.68,0.147958
1319.78,0.131849
1926.63,0.192601
770.736,0.085584
1111.83,0.111179
2264.97,0.225882
