Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^-1,HO_2°^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^-1,O^-1,°O^0,e_aq^-1,°OH^0
1,0.788882,0.226588,0.0323837,4.30404,1.23641e-05,0.014402,0.00253358,6.74289e-06,3.41406e-06,0,0.0878686,0.00430972,0.11903,4.21982,5.09336
1.25893,0.773645,0.228212,0.0363052,4.30314,1.23641e-05,0.0161602,0.00246021,6.74289e-06,3.41406e-06,0,0.090197,0.00448554,0.104831,4.21641,5.09161
1.58489,0.764582,0.229041,0.0405799,4.30206,1.23641e-05,0.0169607,0.00240689,6.74289e-06,3.41406e-06,0,0.0914185,0.00472253,0.0975656,4.21383,5.0834
1.99526,0.755984,0.229682,0.0452625,4.30044,1.23641e-05,0.0175764,0.00227409,6.74289e-06,3.41406e-06,0,0.0921024,0.00492452,0.091247,4.21136,5.07406
2.51189,0.748385,0.230394,0.0502752,4.29906,1.23641e-05,0.0179663,0.00222467,6.74289e-06,3.41406e-06,0,0.0928229,0.00518733,0.0861737,4.20898,5.06426
3.16228,0.741154,0.23106,0.0553277,4.29713,1.62844e-05,0.0183139,0.0021891,6.74289e-06,3.41406e-06,0,0.0934565,0.00540416,0.0812626,4.20617,5.05424
3.98107,0.73501,0.23184,0.060769,4.29499,1.27517e-05,0.0187501,0.00216529,6.74289e-06,3.41406e-06,0,0.0946615,0.00560947,0.0773874,4.20266,5.04253
5.01187,0.728646,0.232507,0.0667024,4.29265,1.62104e-05,0.0190705,0.00209408,6.74289e-06,3.41406e-06,0,0.0958176,0.00588072,0.0737514,4.19891,5.02982
6.30957,0.721858,0.233208,0.0733735,4.29044,1.62104e-05,0.0194252,0.00213025,6.74289e-06,3.41406e-06,0,0.0975066,0.00609812,0.070075,4.19484,5.01576
7.94328,0.715553,0.234055,0.0802806,4.28808,1.62104e-05,0.019888,0.00203083,6.74289e-06,3.41406e-06,0,0.0995162,0.00624189,0.0668785,4.19028,4.99908
10,0.709508,0.234858,0.087038,4.28524,1.62104e-05,0.0201236,0.00201809,6.74289e-06,3.41406e-06,0,0.101133,0.00645658,0.0641628,4.18559,4.98103
12.5893,0.703231,0.235652,0.094838,4.28225,2.27637e-05,0.0203297,0.00205754,6.74289e-06,3.41406e-06,0,0.102953,0.00656893,0.0613804,4.18067,4.96219
15.8489,0.696587,0.236539,0.102873,4.2791,2.49771e-05,0.0205507,0.00207963,6.74289e-06,3.41406e-06,0,0.104856,0.00675229,0.0585869,4.17544,4.94033
19.9526,0.689512,0.237558,0.111663,4.2755,2.74495e-05,0.0208057,0.0021004,1.06863e-05,3.41406e-06,0,0.107092,0.00697587,0.05602,4.16933,4.91554
