EnergyDeposit(eV),LET(keV/um)
1912.51,0.191208
1546.39,0.154609
631.463,0.0631456
1475.15,0.147456
1724.09,0.172377
1346.74,0.134559
1217.31,0.121482
916.499,0.0916361
1080.84,0.108057
1077.71,0.107757
1451.88,0.145068
1704.04,0.170377
1060.12,0.105863
1358.92,0.134986
1301.74,0.130165
2591.64,0.259077
1329.24,0.132531
1306.58,0.130641
1570.95,0.157032
434.045,0.0432023
1049.55,0.104907
733.335,0.0733318
956.601,0.095553
1127.48,0.112591
9179.75,1.67516
817.337,0.0816725
1490.22,0.148995
1207.11,0.120648
1751.54,0.174883
1234.12,0.123406
1133.15,0.113228
1215.19,0.121506
951.374,0.0924342
12356.1,3.49297
1634.11,0.163346
1445.06,0.144488
1731.53,0.173065
1314.45,0.131275
592.526,0.0592477
895.723,0.0895185
3970.45,0.396873
1899.68,0.189926
534.543,0.0533018
1503.01,0.150291
1096.24,0.109619
745.847,0.0745818
1758.69,0.175774
1364.77,0.136466
1578.78,0.157841
922.288,0.0922203
1662.64,0.165565
1395.59,0.139536
617.888,0.0617472
1018.88,0.101492
1229.68,0.122963
910.675,0.0910481
1774.01,0.177329
711.171,0.0710679
1112.02,0.111156
1462.3,0.146081
1010.93,0.101087
719.064,0.0718909
1374.81,0.137431
841.157,0.084114
1320.62,0.13196
1575.57,0.157421
960.792,0.0959843
1673.43,0.167257
2100.88,0.20983
1714.5,0.171433
1248.79,0.124859
814.429,0.0813536
985.022,0.0983577
848.381,0.0847962
704.928,0.070491
920.891,0.0920872
949.852,0.0949664
4256.6,0.425189
2216.26,0.221555
1259.21,0.125896
1285.35,0.128497
918.593,0.0918391
2045.92,0.204545
1750.34,0.175014
2303.46,0.230294
681.139,0.0681092
638.515,0.063824
711.453,0.0711231
950.976,0.0950861
1507.03,0.150647
2028.15,0.202688
851.013,0.0850977
1615.04,0.161497
1839.51,0.183814
5753.93,0.574679
4780.03,0.477784
1001.03,0.100089
1575.77,0.157569
1247.22,0.124645
2184.37,0.218391
852.89,0.0851807
