Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^-1,HO_2°^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^-1,O^-1,°O^0,e_aq^-1,°OH^0
1,0.78254,0.225584,0.0320627,4.31112,0,0.0134863,0.002343,1.81616e-06,0,0,0.0889719,0.00436672,0.118673,4.22554,5.09581
1.25893,0.767388,0.227299,0.0361307,4.31011,0,0.0152767,0.00219111,1.81616e-06,0,0,0.0912296,0.00464352,0.104769,4.22199,5.09316
1.58489,0.758881,0.227933,0.0403356,4.30895,0,0.0161333,0.00211332,1.81616e-06,0,0,0.0923912,0.00477991,0.09778,4.21955,5.08467
1.99526,0.75096,0.228639,0.044979,4.3076,0,0.0167334,0.00206188,1.81616e-06,0,0,0.0933895,0.00498498,0.0915891,4.21696,5.07487
2.51189,0.743921,0.229176,0.0501464,4.30595,0,0.0172791,0.00201286,1.81616e-06,0,0,0.0943888,0.00522285,0.0863777,4.21406,5.0647
3.16228,0.736785,0.229898,0.0557021,4.30415,0,0.0177554,0.00199082,1.81616e-06,0,0,0.0954905,0.00546461,0.081397,4.21093,5.05422
3.98107,0.729983,0.230627,0.0617734,4.30223,0,0.0181148,0.00199368,1.01217e-05,0,0,0.0967378,0.00562226,0.0771513,4.20763,5.04293
5.01187,0.723596,0.231474,0.067577,4.30015,0,0.01852,0.00198203,1.50447e-05,0,0,0.0982033,0.00573647,0.0734912,4.20394,5.0311
6.30957,0.717267,0.232313,0.0741244,4.29775,0,0.018817,0.00202671,1.85715e-05,0,0,0.0997565,0.00593717,0.0701004,4.19986,5.01642
7.94328,0.711379,0.232936,0.0800417,4.29522,0,0.0190764,0.00199461,1.85715e-05,0,0,0.101717,0.00620572,0.0670937,4.19503,4.99998
10,0.704695,0.233703,0.0867473,4.29253,0,0.0193508,0.00194389,1.85715e-05,0,0,0.103717,0.00643202,0.0639745,4.19013,4.98225
12.5893,0.697911,0.23463,0.0942199,4.28952,4.01547e-06,0.0195868,0.00197882,1.85715e-05,0,0,0.10521,0.00667699,0.061131,4.18536,4.96247
15.8489,0.692029,0.235609,0.102579,4.28602,4.01547e-06,0.0199825,0.00197486,1.50447e-05,0,0,0.107161,0.00682732,0.0585058,4.17976,4.94044
19.9526,0.685161,0.236509,0.111445,4.28226,4.01547e-06,0.0203171,0.00199008,1.50447e-05,0,0,0.10932,0.00705564,0.0557025,4.17365,4.9161
