EnergyDeposit(eV),LET(keV/um)
1276.87,0.127633
1039.47,0.103763
899.927,0.0897201
618.509,0.0618309
968.163,0.0967824
1680.48,0.167903
1100.74,0.110048
1797.56,0.179626
719.467,0.0719252
7520.85,0.750223
618.723,0.0618704
1170.14,0.116115
858.344,0.0858279
1051.02,0.105098
911.098,0.0910567
701.531,0.0701336
9430.58,0.938068
1499,0.149875
1640.55,0.163968
2070.23,0.206985
1235.78,0.123516
1968.44,0.196835
1168.89,0.116872
975.163,0.0975
1559.61,0.155948
795.764,0.0795336
2083.17,0.208276
754.814,0.0754737
1077.29,0.107663
1865.58,0.186497
997.824,0.0997712
1170.41,0.116985
1948.09,0.194689
1240.18,0.123962
1359.76,0.135918
1830.19,0.182815
1314.24,0.131406
1122.67,0.11226
1244.35,0.124355
1097.01,0.109652
1099.74,0.109873
663.083,0.0662791
1256.15,0.117145
2991.41,0.299076
735.378,0.0734876
2571.74,0.256913
860.905,0.0860502
872.923,0.0872453
754.023,0.0753916
2028.12,0.202708
503.089,0.0501864
1002.42,0.0997576
2335.11,0.233444
1182.08,0.117877
1019.07,0.100847
1710.17,0.170911
1606.14,0.16059
932.296,0.0932277
13810.4,1.3782
872.23,0.0869614
1137.34,0.113538
1360.91,0.136047
1073.62,0.107344
845.561,0.0845536
8220.37,0.819907
1430.23,0.142996
2009.76,0.200829
1230.59,0.12304
978.461,0.097822
970.373,0.0970311
1696.27,0.169389
2333.23,0.233265
616.765,0.0613802
707.899,0.0707118
1691.58,0.169037
3100.91,0.310033
1293.47,0.12933
925.476,0.0925443
1001.35,0.100114
4181.09,0.418027
990.061,0.0989163
1376.03,0.137202
799.801,0.0799571
1377.09,0.137333
1808.39,0.181986
1738.62,0.173774
1401.64,0.140109
1180.18,0.117951
922.394,0.0922177
928.124,0.0928077
1221.99,0.122189
721.882,0.0721783
908.316,0.0907916
1650.3,0.164817
4421.23,0.441901
739.463,0.0738683
1712.64,0.171213
619.822,0.061874
920.044,0.0919736
2241.92,0.223981
1084.05,0.108336
4118.75,0.410882
915.454,0.0914671
5149.36,0.514577
2114.98,0.211468
2274.96,0.2274
1326.91,0.132673
