Time(ps),H^0,H_2^0,H2O2^0,H3O^1,HO_2^-1,HO_2°^0,O_2^0,O_2^-1,O_3^0,O_3^-1,OH^-1,O^-1,°O^0,e_aq^-1,°OH^0
1,0.784105,0.226378,0.0321226,4.30852,0,0.0141906,0.00255139,7.88687e-06,5.16632e-06,0,0.0882305,0.00444755,0.118644,4.22374,5.09388
1.25893,0.768575,0.227918,0.0361418,4.30763,0,0.0159928,0.0025152,7.88687e-06,5.16632e-06,0,0.0903128,0.00470348,0.104234,4.22052,5.09188
1.58489,0.759925,0.228588,0.0400704,4.3064,0,0.016718,0.00243698,7.88687e-06,5.16632e-06,0,0.0912927,0.00489769,0.0972299,4.21809,5.08356
1.99526,0.752368,0.229317,0.0451906,4.30505,0,0.0172992,0.00234881,0,5.16632e-06,0,0.0921722,0.00515152,0.0915904,4.21564,5.07376
2.51189,0.745318,0.229884,0.0504924,4.3032,0,0.0178235,0.00223699,0,5.16632e-06,0,0.0927846,0.00535833,0.0865192,4.21298,5.06352
3.16228,0.738312,0.230506,0.0557247,4.30143,0,0.0181578,0.00220737,0,5.16632e-06,0,0.093503,0.00569948,0.082038,4.21015,5.05262
3.98107,0.731752,0.231353,0.0613134,4.29904,1.35742e-05,0.0185792,0.00218168,0,5.16632e-06,0,0.0945501,0.00584988,0.0777911,4.20655,5.04079
5.01187,0.725658,0.232148,0.0672884,4.29689,1.55738e-05,0.0188586,0.00219526,0,5.16632e-06,0,0.0957618,0.00602849,0.0740818,4.203,5.02862
6.30957,0.71931,0.232823,0.0733165,4.29442,1.55738e-05,0.0192032,0.00215972,0,5.16632e-06,0,0.0974946,0.00619541,0.0706625,4.19858,5.01451
7.94328,0.71279,0.233553,0.0799407,4.29212,1.55738e-05,0.0196683,0.00212048,0,5.16632e-06,0,0.0992164,0.00635239,0.0673856,4.19441,4.99888
10,0.706522,0.234333,0.0868134,4.2896,1.55738e-05,0.0198925,0.00211702,0,5.16632e-06,0,0.101631,0.00648837,0.0646246,4.18931,4.98132
12.5893,0.699685,0.23526,0.094593,4.28693,2.07648e-05,0.020005,0.00210816,0,5.16632e-06,0,0.103841,0.00665039,0.0616805,4.18433,4.96169
15.8489,0.692808,0.236309,0.102447,4.28392,2.48279e-05,0.020287,0.00209526,0,5.16632e-06,0,0.105875,0.00687672,0.0590192,4.17909,4.93977
19.9526,0.68621,0.237284,0.111496,4.27999,3.45411e-05,0.020668,0.00210519,0,5.16632e-06,0,0.108248,0.00706849,0.0563137,4.17256,4.91486
25.1189,0.679705,0.238268,0.121041,4.27547,3.78327e-05,0.0209183,0.00221067,0,5.16632e-06,0,0.110562,0.00726394,0.0539424,4.16552,4.88714
31.6228,0.671827,0.239333,0.132111,4.27084,3.45411e-05,0.0211556,0.00228659,0,5.16632e-06,0,0.113252,0.00754089,0.0514527,4.15795,4.85615
39.8107,0.665259,0.240408,0.143857,4.26503,4.51912e-05,0.021406,0.0023306,2.43449e-06,5.16632e-06,0,0.115996,0.00775287,0.0493564,4.14915,4.82131
50.1187,0.657498,0.241606,0.156809,4.25856,4.51912e-05,0.0216152,0.00246009,2.43449e-06,5.16632e-06,0,0.119635,0.00799073,0.0470843,4.13878,4.78192
63.0957,0.650033,0.243093,0.171451,4.25125,5.36462e-05,0.0219643,0.00257499,2.43449e-06,5.16632e-06,0,0.123907,0.00829724,0.0448998,4.1269,4.73819
79.4328,0.642737,0.244502,0.187398,4.24306,4.59487e-05,0.0223507,0.00271697,2.43449e-06,5.16632e-06,0,0.128625,0.00861079,0.0428789,4.11365,4.69116
100,0.63549,0.246096,0.204557,4.23332,6.3414e-05,0.0227863,0.00289815,2.43449e-06,5.16632e-06,0,0.133982,0.00894981,0.0409971,4.09826,4.63845
125.892,0.627901,0.24825,0.223222,4.22256,7.69881e-05,0.0230855,0.0031452,2.10088e-05,5.16632e-06,0,0.140655,0.00915809,0.03919,4.08056,4.5819
158.489,0.621463,0.250073,0.242873,4.21057,0.0001193,0.0234334,0.00335721,2.61876e-05,5.16632e-06,0,0.146749,0.00954082,0.0374824,4.06203,4.52176
199.526,0.615362,0.251926,0.263095,4.19704,0.000145077,0.0237489,0.00361178,2.88206e-05,5.16632e-06,0,0.153731,0.00993987,0.0358896,4.04111,4.45913
251.189,0.609228,0.254351,0.284387,4.18123,0.000178513,0.0240104,0.00390544,2.76186e-05,5.16632e-06,0,0.161347,0.0101862,0.0343881,4.01742,4.39202
316.228,0.603694,0.256955,0.306162,4.16458,0.00022804,0.0243387,0.00416389,6.46132e-05,5.16632e-06,0,0.169375,0.0104892,0.0328517,3.99231,4.32314
398.107,0.59927,0.259588,0.328839,4.14651,0.000248409,0.0245949,0.00448533,8.02601e-05,5.16632e-06,0,0.17764,0.0111157,0.0314361,3.96534,4.25268
501.187,0.594796,0.262467,0.3516,4.1273,0.000283636,0.0247203,0.00477229,0.000127307,5.16632e-06,0,0.18675,0.011662,0.0301952,3.9364,4.1793
630.957,0.591955,0.265478,0.373388,4.10653,0.000395649,0.0249335,0.00518066,0.000137686,5.16632e-06,0,0.196148,0.012298,0.0289511,3.90548,4.10664
794.328,0.58934,0.268872,0.39396,4.0842,0.000463475,0.0249564,0.00548745,0.000174374,5.16632e-06,0,0.207046,0.0131941,0.028054,3.87128,4.03474
999.999,0.58798,0.272564,0.414022,4.06115,0.000570997,0.024969,0.00579603,0.000203594,5.16632e-06,3.86382e-06,0.218321,0.0138152,0.0272144,3.83619,3.9652
1258.92,0.588013,0.276505,0.432327,4.03638,0.000645058,0.0248612,0.0061824,0.000260083,5.16632e-06,1.12538e-05,0.229647,0.0150276,0.0263825,3.79875,3.89788
1584.89,0.587963,0.280726,0.450325,4.01133,0.000787328,0.0248284,0.00644557,0.000281755,1.12381e-05,1.12538e-05,0.242702,0.0158992,0.0256492,3.75965,3.83138
1995.26,0.588839,0.285245,0.466207,3.98483,0.000830316,0.0248595,0.00664797,0.000349599,1.12381e-05,1.12538e-05,0.255359,0.0166931,0.024961,3.71957,3.76849
2511.89,0.590414,0.289386,0.480396,3.95788,0.000926938,0.0248948,0.00686758,0.000445033,1.12381e-05,7.38997e-06,0.267291,0.017624,0.0243225,3.67964,3.70835
3162.28,0.592171,0.294188,0.493369,3.93122,0.00108278,0.0248874,0.00703857,0.00050479,1.61177e-05,7.38997e-06,0.282806,0.0185617,0.0237874,3.63635,3.64976
3981.07,0.594453,0.298989,0.504979,3.90395,0.00122527,0.0248997,0.00718484,0.000560016,1.61177e-05,0,0.298553,0.0195327,0.023256,3.59222,3.59352
5011.87,0.596849,0.30457,0.515511,3.87661,0.00141602,0.0247866,0.00732132,0.000688231,1.9621e-05,0,0.313372,0.0205493,0.022767,3.54874,3.54138
6309.57,0.599216,0.309836,0.524285,3.85017,0.00159148,0.0247171,0.0074322,0.000751596,1.9621e-05,3.44445e-06,0.32952,0.0214888,0.0223116,3.50507,3.49243
7943.28,0.602269,0.315377,0.531254,3.82354,0.00173281,0.0247259,0.00752961,0.00078571,1.9621e-05,7.58649e-06,0.345843,0.0225485,0.0219691,3.461,3.44635
9999.99,0.604673,0.320798,0.537478,3.79852,0.00188533,0.0246807,0.00760236,0.000805553,1.9621e-05,2.2106e-05,0.362434,0.0236339,0.0216036,3.41829,3.40433
