Time_ps,H^0,H_2^0,H2O2^0,H3O^1,OH^0,OH^-1,e_aq^-1
1,0.672589,0.188885,0.0416838,4.13805,5.09852,0.00651596,4.13939
1.25893,0.672589,0.188885,0.0416838,4.13805,5.09852,0.00651596,4.13939
1.58489,0.672589,0.188892,0.0489471,4.13805,5.09852,0.0077124,4.13939
1.99526,0.672589,0.188892,0.0489471,4.13805,5.09852,0.0077124,4.13939
2.51189,0.670412,0.189138,0.0615285,4.13451,5.05609,0.0081841,4.13475
3.16228,0.669276,0.189255,0.064963,4.13245,5.04232,0.00806005,4.13226
3.98107,0.669287,0.189265,0.0675013,4.13244,5.04216,0.00876819,4.13221
5.01187,0.667375,0.189531,0.0778744,4.1289,5.01059,0.00920318,4.12756
6.30957,0.666305,0.18966,0.0830401,4.12725,4.99737,0.00976137,4.12537
7.94328,0.665493,0.189744,0.08953,4.12571,4.98294,0.0106124,4.1234
10,0.663851,0.190006,0.0972324,4.12314,4.96195,0.0116211,4.11968
12.5893,0.661761,0.190289,0.107819,4.11977,4.93409,0.0128716,4.11494
15.8489,0.659873,0.190556,0.117558,4.11647,4.90832,0.014582,4.11001
19.9526,0.657702,0.190873,0.128545,4.11275,4.87901,0.016356,4.10438
25.1189,0.654691,0.191514,0.140941,4.10803,4.84578,0.0185752,4.09755
31.6228,0.652059,0.192052,0.154109,4.10344,4.80951,0.0217376,4.08971
39.8107,0.648431,0.192736,0.168027,4.09787,4.77061,0.0250856,4.08074
50.1187,0.644966,0.193565,0.182984,4.09126,4.72825,0.0291317,4.07012
63.0957,0.641689,0.194483,0.199311,4.0837,4.68198,0.0337448,4.0579
79.4328,0.637796,0.195577,0.217325,4.07483,4.63052,0.0386518,4.0441
100,0.634028,0.196735,0.236365,4.06571,4.57533,0.0451427,4.02853
125.892,0.629942,0.198342,0.256317,4.05528,4.51674,0.0527216,4.01053
158.489,0.626154,0.199939,0.277562,4.04321,4.45342,0.0608566,3.99031
199.526,0.622813,0.201815,0.299669,4.02949,4.38705,0.0697082,3.96774
251.189,0.619775,0.204033,0.321499,4.01503,4.31973,0.0805213,3.94253
316.228,0.617216,0.206298,0.344341,3.99894,4.24931,0.0911165,3.91581
398.107,0.614928,0.209068,0.367144,3.98148,4.17685,0.103833,3.88572
501.187,0.613609,0.212404,0.389257,3.96258,4.10486,0.118001,3.85266
630.957,0.612552,0.215388,0.409966,3.94269,4.03503,0.131426,3.81932
794.328,0.612178,0.218853,0.43039,3.9217,3.96435,0.146892,3.78286
999.999,0.612535,0.222347,0.449334,3.89969,3.89616,0.162636,3.74513
1258.92,0.613772,0.226194,0.466886,3.8762,3.83081,0.17837,3.70588
1584.89,0.615284,0.230217,0.483472,3.85303,3.76639,0.196038,3.66502
1995.26,0.616845,0.234571,0.498535,3.829,3.70449,0.214197,3.62291
2511.89,0.61907,0.239165,0.511687,3.8048,3.64788,0.231872,3.5811
3162.28,0.621614,0.243677,0.523643,3.78114,3.59368,0.250173,3.53917
3981.07,0.624261,0.248446,0.534308,3.75722,3.54237,0.268663,3.49694
5011.87,0.626722,0.253154,0.54381,3.73399,3.494,0.286907,3.4556
6309.57,0.629318,0.257936,0.551976,3.71084,3.44841,0.30535,3.41412
7943.28,0.631804,0.262843,0.559064,3.68884,3.40601,0.324177,3.37344
9999.99,0.634412,0.267432,0.565204,3.66741,3.36694,0.341576,3.33486
12589.2,0.636754,0.272025,0.57071,3.64728,3.33028,0.358937,3.29756
15848.9,0.638902,0.276098,0.575027,3.62783,3.29701,0.374792,3.26233
19952.6,0.640912,0.280465,0.578676,3.60973,3.26591,0.391584,3.22747
25118.8,0.642929,0.284133,0.58148,3.59253,3.23826,0.406169,3.19589
31622.8,0.644461,0.287577,0.583945,3.5765,3.21287,0.419556,3.16683
39810.7,0.645931,0.290901,0.586339,3.56131,3.18941,0.431515,3.1398
50118.7,0.646776,0.294228,0.588526,3.54716,3.16739,0.443064,3.11447
63095.7,0.64772,0.297319,0.590049,3.53406,3.14752,0.454616,3.09021
79432.8,0.648441,0.299978,0.591665,3.52169,3.12898,0.464259,3.06843
99999.9,0.649233,0.302326,0.593138,3.51035,3.11237,0.47279,3.04882
125892,0.649927,0.304444,0.594225,3.49921,3.09697,0.480739,3.03007
158489,0.650335,0.306647,0.595277,3.48864,3.08302,0.487594,3.01303
199526,0.65076,0.308476,0.595975,3.47846,3.07061,0.493661,2.99737
251188,0.651109,0.30995,0.596528,3.4689,3.05867,0.499441,2.98244
316227,0.650944,0.311389,0.597424,3.45994,3.04716,0.504315,2.96954
398107,0.650795,0.312889,0.597584,3.45116,3.03745,0.509312,2.95629
501187,0.650989,0.314038,0.59774,3.44232,3.02873,0.513207,2.94438
630957,0.651217,0.315181,0.598209,3.43395,3.01969,0.517213,2.93295
794327,0.650887,0.315956,0.598568,3.42547,3.01052,0.520768,2.92223
999999,0.650717,0.316644,0.598684,3.41657,3.00281,0.523262,2.91249
